trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-103.28311157626436,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-57.25642148685365,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-126.16892138488627,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-47.34597908971261,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,3,-59.88378187849057,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-237.0273380062507,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-155.8298272555764,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-65.73905629061026,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-194.5256927394655,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9800665778412416}",35,0,-89.39944773571476,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-153.6507455151873,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9713379748520297}",30,0,-171.88512400304322,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-103.51688862051328,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-157.13194150033067,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.955336489125606}",20,9,-4.605300490930466,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,11,-38.916197209344105,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-90.65288488797624,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,0,-167.6676747300844,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9286646355765102}",25,0,-183.77875557759,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,0,-182.1750029625606,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-121.8108081131458,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9047516632199635}",30,0,-64.41602614475674,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8960524975255253}",20,1,-25.842332852808024,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8869949227792842}",30,0,-236.2305658728205,"{0: 14, 1: 0, 2: 9, 3: 6, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-12.419553844912071,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,-132.13219415896867,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8577086813638242}",30,0,-113.49029026900797,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,0,-70.30632166870768,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8364626499151869}",30,0,-133.55092852413372,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,0,-26.538353022301738,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,17,-2.5571162796887195,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,0,-179.06673192075908,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7899922314973651}",35,22,-18.40952088670193,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7775727187509279}",30,0,-89.53851238551242,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-103.15369904076898,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
