trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-99.30260902482928,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1}",25,0,-207.5823246899864,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-224.00775483515906,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1}",20,0,-132.62797482722033,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1}",30,0,-173.77677090639182,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1}",20,0,-123.73049027070367,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1}",25,0,-150.30277213219716,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1}",25,0,-133.0819371250519,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-52.89362312586133,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1}",25,0,-125.61610076928874,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1}",20,0,-164.17726302878782,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1}",20,0,-145.79957561908807,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1}",20,5,-69.90274703689012,"{0: 10, 1: 0, 2: 1, 3: 4, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1}",25,0,-196.3489757230376,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1}",30,0,-144.32922723499067,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-126.67834296858167,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1}",20,0,-70.88729943180385,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1}",30,0,-118.75358837390834,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1}",25,0,-24.034229707828256,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1}",20,0,-81.50244532461737,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-28.1674045947089,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-102.07378644536394,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-121.68001518842146,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-226.64382251308737,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-105.933202953173,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-108.06904370466249,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-13.001082623404551,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-103.89142096352923,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-181.1342657710053,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-131.15935500513547,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
